Country,Lat,Lng,Suicide-No.
United States,37.09024,-95.712891,387385
Russian Federation,61.52401,105.318756,334082
Japan,36.204824,138.252924,278985
Republic of Korea,35.907757,127.766922,138480
Germany,51.165691,10.451526,98697
Brazil,-14.235004,-51.92528,97856
France,46.227638,2.213749,90413
Ukraine,48.379433,31.1655799,81876
Poland,51.919438,19.145136,59658
Mexico,23.634501,-102.552784,52100
United Kingdom,55.378051,-3.435973,44071
Italy,41.87194,12.56738,40159
Thailand,15.870032,100.992541,38664
Kazakhstan,48.019573,66.923684,35805
Spain,40.46366700000001,-3.74922,34662
Argentina,-38.416097,-63.61667199999999,30391
Canada,56.130366,-106.346771,30377
Australia,-25.274398,133.775136,24942
Romania,45.943161,24.96676,24850
Hungary,47.162494,19.5033041,22990
Colombia,4.570868,-74.297333,21623
Belgium,50.503887,4.469936,19592
Chile,-35.675147,-71.542969,19113
Netherlands,52.132633,5.291265999999999,16426
Belarus,53.709807,27.953389,16334
Czech Republic,49.81749199999999,15.472962,14825
Cuba,21.521757,-77.781167,14582
Austria,47.516231,14.550072,12811
Serbia,44.016521,21.005859,12557
Philippines,12.879721,121.774017,11945
Sweden,60.12816100000001,18.643501,11702
Switzerland,46.818188,8.227511999999999,11342
Uzbekistan,41.377491,64.585262,10383
Lithuania,55.169438,23.881275,10197
Turkey,38.963745,35.243322,10131
Finland,61.92410999999999,25.7481511,9270
Ecuador,-1.831239,-78.18340599999999,9086
Portugal,39.39987199999999,-8.224454,8549
Bulgaria,42.733883,25.48583,7625
Croatia,45.1,15.2000001,7561
Denmark,56.26392,9.501785,6072
Norway,60.47202399999999,8.468945999999999,5448
Uruguay,-32.522779,-55.765835,5051
Kyrgyzstan,41.20438,74.766098,4695
South Africa,-30.559482,22.937506,4631
Ireland,53.1423672,-7.692053599999999,4498
Greece,39.074208,21.824312,4475
Latvia,56.879635,24.603189,4457
Slovenia,46.151241,14.995463,4363
Guatemala,15.783471,-90.23075899999999,4220
El Salvador,13.794185,-88.89653,4174
New Zealand,-40.900557,174.885971,4144
Sri Lanka,7.873053999999999,80.77179699999999,4015
Israel,31.046051,34.851612,3866
Slovakia,48.669026,19.699024,3564
Singapore,1.352083,103.819836,3405
Costa Rica,9.748916999999999,-83.753428,2667
Puerto Rico,18.220833,-66.590149,2645
Paraguay,-23.442503,-58.443832,2481
Estonia,58.595272,25.0136071,2341
Turkmenistan,38.969719,59.556278,2325
Nicaragua,12.865416,-85.207229,2013
Panama,8.537981,-80.782127,1536
Guyana,4.860416,-58.93018,1523
Georgia,32.1656221,-82.9000751,1222
Suriname,3.919305,-56.027783,1164
Mauritius,-20.348404,57.55215200000001,1097
Trinidad and Tobago,10.691803,-61.222503,898
Armenia,40.069099,45.038189,683
Luxembourg,49.815273,6.129582999999999,565
United Arab Emirates,23.424076,53.847818,526
Kuwait,29.31166,47.481766,449
Qatar,25.354826,51.183884,445
Iceland,64.963051,-19.020835,386
Albania,41.153332,20.168331,380
Montenegro,42.708678,19.37439,354
Cyprus,35.126413,33.429859,344
Bosnia and Herzegovina,43.915886,17.679076,318
Malta,35.937496,14.375416,266
Bahrain,26.0667,50.5577,217
Belize,17.189877,-88.49765,178
Fiji,-17.713371,178.065032,170
Jamaica,18.109581,-77.297508,89
Saint Lucia,13.909444,-60.978893,65
Seychelles,-4.679574,55.491977,56
Azerbaijan,40.143105,47.576927,55
Saint Vincent and Grenadines,12.984305,-61.287228,47
Cabo Verde,16.5388,-23.0418,42
Bahamas,25.03428,-77.39627999999999,41
Aruba,12.52111,-69.968338,41
Oman,21.4735329,55.975413,33
Barbados,13.193887,-59.543198,18
Maldives,3.202778,73.22068,8
Grenada,12.1165,-61.67899999999999,7
Antigua and Barbuda,17.060816,-61.796428,2
