,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation,total_suicides_no,country_yearly_population,country_yearly_suicides
0,Brazil,2006,male,75+ years,275,1575798,17.45,Brazil2006,,"1,107,640,297,890",6403,Silent,97856,172974722,8618
1,Brazil,2006,male,55-74 years,1112,9247477,12.02,Brazil2006,,"1,107,640,297,890",6403,Silent,97856,172974722,8618
2,Brazil,2006,male,35-54 years,2536,22709135,11.17,Brazil2006,,"1,107,640,297,890",6403,Boomers,97856,172974722,8618
3,Brazil,2006,male,25-34 years,1537,15717099,9.78,Brazil2006,,"1,107,640,297,890",6403,Generation X,97856,172974722,8618
4,Brazil,2006,male,15-24 years,1293,18063460,7.16,Brazil2006,,"1,107,640,297,890",6403,Millenials,97856,172974722,8618
5,Brazil,2006,female,35-54 years,708,24105759,2.94,Brazil2006,,"1,107,640,297,890",6403,Boomers,97856,172974722,8618
6,Brazil,2006,female,55-74 years,265,10786642,2.46,Brazil2006,,"1,107,640,297,890",6403,Silent,97856,172974722,8618
7,Brazil,2006,female,15-24 years,387,17631557,2.19,Brazil2006,,"1,107,640,297,890",6403,Millenials,97856,172974722,8618
8,Brazil,2006,female,25-34 years,333,15862415,2.1,Brazil2006,,"1,107,640,297,890",6403,Generation X,97856,172974722,8618
9,Brazil,2006,female,75+ years,47,2466737,1.91,Brazil2006,,"1,107,640,297,890",6403,Silent,97856,172974722,8618
10,Brazil,2006,male,5-14 years,64,17731288,0.36,Brazil2006,,"1,107,640,297,890",6403,Millenials,97856,172974722,8618
11,Brazil,2006,female,5-14 years,61,17077355,0.36,Brazil2006,,"1,107,640,297,890",6403,Millenials,97856,172974722,8618
12,Brazil,2007,male,75+ years,305,1654216,18.44,Brazil2007,,"1,397,084,345,950",7970,Silent,97856,175293192,8855
13,Brazil,2007,male,55-74 years,1220,9611434,12.69,Brazil2007,,"1,397,084,345,950",7970,Silent,97856,175293192,8855
14,Brazil,2007,male,35-54 years,2516,23156759,10.87,Brazil2007,,"1,397,084,345,950",7970,Boomers,97856,175293192,8855
15,Brazil,2007,male,25-34 years,1609,16075775,10.01,Brazil2007,,"1,397,084,345,950",7970,Generation X,97856,175293192,8855
16,Brazil,2007,male,15-24 years,1267,17991928,7.04,Brazil2007,,"1,397,084,345,950",7970,Millenials,97856,175293192,8855
17,Brazil,2007,female,35-54 years,723,24591528,2.94,Brazil2007,,"1,397,084,345,950",7970,Boomers,97856,175293192,8855
18,Brazil,2007,female,55-74 years,275,11208413,2.45,Brazil2007,,"1,397,084,345,950",7970,Silent,97856,175293192,8855
19,Brazil,2007,female,25-34 years,392,16189977,2.42,Brazil2007,,"1,397,084,345,950",7970,Generation X,97856,175293192,8855
20,Brazil,2007,female,15-24 years,379,17547530,2.16,Brazil2007,,"1,397,084,345,950",7970,Millenials,97856,175293192,8855
21,Brazil,2007,female,75+ years,51,2581330,1.98,Brazil2007,,"1,397,084,345,950",7970,Silent,97856,175293192,8855
22,Brazil,2007,male,5-14 years,67,17669069,0.38,Brazil2007,,"1,397,084,345,950",7970,Generation Z,97856,175293192,8855
23,Brazil,2007,female,5-14 years,51,17015233,0.3,Brazil2007,,"1,397,084,345,950",7970,Generation Z,97856,175293192,8855
24,Brazil,2008,male,75+ years,318,1728094,18.4,Brazil2008,,"1,695,824,571,927",9555,Silent,97856,177471632,9184
25,Brazil,2008,male,55-74 years,1204,9996938,12.04,Brazil2008,,"1,695,824,571,927",9555,Silent,97856,177471632,9184
26,Brazil,2008,male,35-54 years,2608,23591045,11.06,Brazil2008,,"1,695,824,571,927",9555,Boomers,97856,177471632,9184
27,Brazil,2008,male,25-34 years,1706,16430646,10.38,Brazil2008,,"1,695,824,571,927",9555,Generation X,97856,177471632,9184
28,Brazil,2008,male,15-24 years,1375,17889839,7.69,Brazil2008,,"1,695,824,571,927",9555,Millenials,97856,177471632,9184
29,Brazil,2008,female,35-54 years,745,25056164,2.97,Brazil2008,,"1,695,824,571,927",9555,Boomers,97856,177471632,9184
30,Brazil,2008,female,55-74 years,309,11656750,2.65,Brazil2008,,"1,695,824,571,927",9555,Silent,97856,177471632,9184
31,Brazil,2008,female,15-24 years,398,17432076,2.28,Brazil2008,,"1,695,824,571,927",9555,Millenials,97856,177471632,9184
32,Brazil,2008,female,25-34 years,365,16515414,2.21,Brazil2008,,"1,695,824,571,927",9555,Generation X,97856,177471632,9184
33,Brazil,2008,female,75+ years,52,2693428,1.93,Brazil2008,,"1,695,824,571,927",9555,Silent,97856,177471632,9184
34,Brazil,2008,male,5-14 years,55,17566837,0.31,Brazil2008,,"1,695,824,571,927",9555,Generation Z,97856,177471632,9184
35,Brazil,2008,female,5-14 years,49,16914401,0.29,Brazil2008,,"1,695,824,571,927",9555,Generation Z,97856,177471632,9184
36,Brazil,2009,male,75+ years,295,1803127,16.36,Brazil2009,,"1,667,019,780,934",9283,Silent,97856,179569551,9346
37,Brazil,2009,male,55-74 years,1271,10398573,12.22,Brazil2009,,"1,667,019,780,934",9283,Silent,97856,179569551,9346
38,Brazil,2009,male,35-54 years,2737,24035191,11.39,Brazil2009,,"1,667,019,780,934",9283,Boomers,97856,179569551,9346
39,Brazil,2009,male,25-34 years,1838,16753314,10.97,Brazil2009,,"1,667,019,780,934",9283,Generation X,97856,179569551,9346
40,Brazil,2009,male,15-24 years,1270,17794434,7.14,Brazil2009,,"1,667,019,780,934",9283,Millenials,97856,179569551,9346
